

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.024  000.024: --- VIM STARTING ---
000.161  000.137: Allocated generic buffers
004.595  004.434: locale set
004.601  000.006: clipboard setup
004.611  000.010: window checked
012.854  008.243: inits 1
013.058  000.204: parsing arguments
013.061  000.003: expanding arguments
016.243  003.182: shell init
016.756  000.513: Termcap init
016.776  000.020: inits 2
016.936  000.160: init highlight
024.806  007.179  007.179: sourcing /usr/local/share/vim/vim82/filetype.vim
025.047  000.059  000.059: sourcing /usr/local/share/vim/vim82/ftplugin.vim
025.247  000.022  000.022: sourcing /usr/local/share/vim/vim82/filetype.vim
025.473  000.051  000.051: sourcing /usr/local/share/vim/vim82/indent.vim
025.760  000.078  000.078: sourcing /usr/local/share/vim/vim82/delmenu.vim
026.740  000.031  000.031: sourcing /usr/local/share/vim/vim82/lang/menu_en_gb.latin1.vim
026.953  000.015  000.015: sourcing /usr/local/Cellar/vim/8.2.0600/share/vim/vim82/lang/menu_en_gb.latin1.vim
026.962  000.124  000.109: sourcing /usr/local/share/vim/vim82/lang/menu_en_gb.utf-8.vim
027.481  000.041  000.041: sourcing /usr/local/share/vim/vim82/autoload/paste.vim
029.680  003.788  003.592: sourcing /usr/local/share/vim/vim82/menu.vim
031.041  000.883  000.883: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
031.173  001.156  000.273: sourcing /usr/local/share/vim/vim82/syntax/synload.vim
031.210  001.339  000.183: sourcing /usr/local/share/vim/vim82/syntax/syntax.vim
031.740  000.206  000.206: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
032.192  000.177  000.177: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
032.558  000.171  000.171: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
032.779  001.439  000.885: sourcing /usr/local/share/vim/vim82/colors/desert.vim
033.325  000.179  000.179: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
033.693  000.175  000.175: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
033.915  001.015  000.661: sourcing /usr/local/share/vim/vim82/colors/desert.vim
034.368  016.892  001.922: sourcing /Users/sleira/.vim_runtime/vimrcs/basic.vim
034.590  000.125  000.125: sourcing /Users/sleira/.vim_runtime/vimrcs/filetypes.vim
035.246  000.380  000.380: sourcing /Users/sleira/.vim_runtime/autoload/pathogen.vim
038.308  001.713  001.713: sourcing /usr/local/share/vim/vim82/ftoff.vim
044.961  006.493  006.493: sourcing /usr/local/share/vim/vim82/filetype.vim
052.043  001.367  001.367: sourcing /usr/local/share/vim/vim82/ftoff.vim
059.247  000.048  000.048: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nginx.vim/ftdetect/nginx.vim
059.451  000.040  000.040: sourcing /Users/sleira/.vim_runtime/sources_non_forked/rust.vim/ftdetect/rust.vim
